customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
1,Jonah Gray,jonah.gray1@example.com,Germany,2022-01-25,Standard,523.29
2,Arlo Lane,arlo.lane2@example.com,Brazil,2025-03-10,Standard,601.63
3,Leo Cruz,leo.cruz3@example.com,India,2026-04-27,Basic,23.91
4,Ava Dunn,ava.dunn4@example.com,United States,2022-03-23,Premium,817.03
5,Silas Pike,silas.pike5@example.com,Australia,2024-10-23,Standard,594.51
6,Miles Kerr,miles.kerr6@example.com,Australia,2025-01-06,Standard,250.12
7,Ruby Quinn,ruby.quinn7@example.com,Germany,2023-02-21,Standard,253.65
8,Theo Lane,theo.lane8@example.com,Australia,2025-08-23,Standard,136.65
9,Caleb Kerr,caleb.kerr9@example.com,Spain,2023-05-04,Standard,125.89
10,Owen Quinn,owen.quinn10@example.com,United States,2025-06-07,Basic,199.50
11,Noah Frost,noah.frost11@example.com,Australia,2022-12-26,Basic,39.13
12,Ava Kerr,ava.kerr12@example.com,United States,2024-10-13,Standard,504.43
13,Lila Bell,lila.bell13@example.com,India,2022-12-08,Basic,121.85
14,Zoe Lang,zoe.lang14@example.com,United States,2022-08-30,Basic,9.61
15,Nora Snow,nora.snow15@example.com,Germany,2023-06-23,Standard,151.01
16,Jonah Vale,jonah.vale16@example.com,United States,2025-03-06,Standard,268.73
17,Leo Reed,leo.reed17@example.com,United States,2025-03-21,Standard,201.17
18,Owen Lang,owen.lang18@example.com,United States,2022-01-26,Standard,370.53
19,Noah York,noah.york19@example.com,Netherlands,2023-01-02,Standard,96.35
20,Theo Snow,theo.snow20@example.com,India,2024-05-08,Basic,73.56
21,Nora Cole,nora.cole21@example.com,India,2023-07-10,Standard,152.08
22,Sadie Moss,sadie.moss22@example.com,India,2022-04-18,Premium,1440.28
23,Owen Snow,owen.snow23@example.com,United States,2024-04-01,Standard,140.34
24,Jade Vale,jade.vale24@example.com,India,2023-09-29,Basic,107.24
25,Mia Cruz,mia.cruz25@example.com,United Kingdom,2023-08-21,Standard,788.99
26,Silas Frost,silas.frost26@example.com,United States,2024-01-25,Basic,193.88
27,Jonah Park,jonah.park27@example.com,India,2025-01-24,Basic,80.32
28,Zoe Hart,zoe.hart28@example.com,United States,2025-01-14,Basic,113.51
29,Piper Tate,piper.tate29@example.com,United States,2023-11-18,Basic,0.47
30,Mila Hale,mila.hale30@example.com,India,2023-09-22,Standard,186.24
31,Ivy Bell,ivy.bell31@example.com,Canada,2022-05-03,Basic,46.65
32,Iris Drew,iris.drew32@example.com,Netherlands,2024-11-30,Premium,2665.60
33,Iris Young,iris.young33@example.com,Mexico,2022-06-23,Standard,175.27
34,Lila Nash,lila.nash34@example.com,Canada,2025-04-27,Standard,794.25
35,Noah Shaw,noah.shaw35@example.com,United States,2023-08-21,Basic,85.52
36,Nico Lane,nico.lane36@example.com,Canada,2026-08-31,Basic,106.90
37,Nora Vale,nora.vale37@example.com,United States,2023-02-20,Standard,228.40
38,Mila Park,mila.park38@example.com,United States,2022-12-03,Standard,639.25
39,Chloe Lane,chloe.lane39@example.com,Germany,2026-04-27,Standard,322.15
40,Chloe Frost,chloe.frost40@example.com,Brazil,2022-07-05,Standard,256.58
41,Silas Hale,silas.hale41@example.com,India,2025-05-20,Standard,102.86
42,Ivy Tate,ivy.tate42@example.com,United States,2025-12-27,Basic,81.33
43,Leo Pike,leo.pike43@example.com,India,2023-06-17,Standard,277.89
44,Ava Pike,ava.pike44@example.com,France,2025-01-31,Basic,81.87
45,Liam Vale,,Japan,2022-09-06,Premium,562.68
46,Noah Tate,noah.tate46@example.com,United States,2023-02-10,Basic,131.26
47,Leo Hale,leo.hale47@example.com,Australia,2025-04-07,Standard,389.24
48,Arlo Tate,arlo.tate48@example.com,Mexico,2023-02-09,Premium,3886.83
49,Chloe Snow,chloe.snow49@example.com,Netherlands,2026-08-26,Standard,484.56
50,Liam Brooks,liam.brooks50@example.com,United States,2025-03-21,Basic,141.93
51,Wren Lang,wren.lang51@example.com,United States,2025-10-31,Standard,609.23
52,Ethan Moss,ethan.moss52@example.com,United States,2023-07-28,Standard,634.59
53,Jade Nash,jade.nash53@example.com,Australia,2023-05-19,Premium,3893.60
54,Caleb York,caleb.york54@example.com,France,2022-05-05,Standard,164.97
55,Ruby Pike,ruby.pike55@example.com,United States,2026-06-21,Standard,739.19
56,Owen Gray,owen.gray56@example.com,France,2022-02-09,Basic,125.33
57,Silas Kerr,silas.kerr57@example.com,France,2024-09-19,Standard,500.93
58,Arlo Dunn,arlo.dunn58@example.com,Canada,2023-01-04,Standard,84.16
59,Nora Finn,nora.finn59@example.com,Brazil,2026-05-14,Standard,418.22
60,Noah Snow,noah.snow60@example.com,Germany,2026-04-20,Basic,191.36
61,Owen Reed,owen.reed61@example.com,Australia,2023-06-30,Premium,3298.07
62,Wren Snow,wren.snow62@example.com,United States,2023-03-26,Basic,188.64
63,Nico Snow,nico.snow63@example.com,Netherlands,2022-12-22,Standard,280.81
64,Owen Dunn,owen.dunn64@example.com,India,2024-01-05,Standard,86.97
65,Iris Kerr,iris.kerr65@example.com,France,2022-10-19,Standard,788.07
66,Ivy Tate,ivy.tate66@example.com,Brazil,2024-10-05,Basic,177.64
67,Caleb Reed,caleb.reed67@example.com,United States,2023-04-22,Standard,336.79
68,Ava Bell,ava.bell68@example.com,United Kingdom,2025-06-11,Standard,314.06
69,Silas Nash,silas.nash69@example.com,United States,2026-07-02,Standard,474.13
70,Noah Hart,noah.hart70@example.com,India,2022-10-18,Standard,195.38
71,Nico Bell,nico.bell71@example.com,Spain,2024-02-05,Basic,129.62
72,Sadie Walsh,sadie.walsh72@example.com,United Kingdom,2022-11-19,Standard,622.61
73,Silas Gray,silas.gray73@example.com,Australia,2022-12-23,Basic,184.14
74,Iris Young,iris.young74@example.com,India,2023-04-03,Basic,192.98
75,Wren Reed,wren.reed75@example.com,India,2023-08-27,Standard,216.91
76,Ethan Lang,ethan.lang76@example.com,India,2025-03-19,Premium,2553.11
77,Nico Park,nico.park77@example.com,United States,2025-05-18,Basic,104.27
78,Arlo Snow,arlo.snow78@example.com,United States,2025-03-04,Basic,34.11
79,Arlo York,arlo.york79@example.com,India,2023-05-03,Standard,504.57
